KALCODE,Population2021
5402000002,12.0
5402000003,3.0
5402000007,179.0
5402000009,27.0
5402000011,44.0
5402000016,28.0
5402000018,12.0
5402000022,86.0
5401030208,73.0
5401020502,13.0
5401020603,17.0
5401020604,253.0
5401020605,6.0
5401020606,87.0
5401020302,187.0
5401020303,65.0
5401020304,42.0
5401020307,35.0
5401020104,16.0
5401020105,80.0
5401020106,10.0
5401020107,30.0
5401020108,26.0
5401020202,12.0
5401020203,43.0
5401030304,6.0
5401030305,2.0
5401030306,13.0
5401030307,14.0
5401030102,210.0
5901030402,39.0
6702060104,18.0
6702050113,1.0
6701000307,2.0
6701000309,18.0
6701000402,43.0
5901010503,5.0
5901010505,189.0
5901010506,22.0
5901010507,178.0
5901010508,4.0
2702030501,80.0
2902010401,306.0
2906051101,196.0
2906050201,295.0
2906050601,182.0
2902021401,347.0
2902010301,311.0
2902010601,237.0
2703010401,28.0
2703020401,199.0
2902020502,8.0
2804040102,42.0
2804040202,26.0
2804030102,10.0
2706030602,98.0
6202000001,346.0
6201010301,497.0
6201010501,382.0
6201010801,204.0
6201010701,244.0
6201010201,427.0
6701000502,8.0
2701030401,124.0
2706021001,28.0
2706031201,201.0
2904030301,177.0
2706021101,43.0
2703030301,113.0
2703011201,96.0
2703030201,94.0
2703030401,137.0
2706030901,114.0
1901010103,750.0
6702011102,35.0
6702011103,136.0
6702011104,23.0
6702011105,152.0
6702030303,12.0
5301010901,1087.0
5302020201,177.0
5302060301,761.0
5302060201,117.0
5602010103,12.0
5602010105,21.0
5602020102,32.0
5602020104,14.0
5602020106,26.0
2907030701,191.0
2707020501,233.0
2706020701,48.0
2706011401,324.0
2701030301,233.0
2904010901,123.0
2706020501,123.0
2706021201,181.0
2706020201,223.0
2707030201,171.0
2707030301,519.0
2706030601,360.0
2707010601,110.0
2706020601,139.0
2904010501,72.0
2706020101,576.0
2706020401,100.0
5602020108,10.0
5602020302,19.0
5602020107,230.0
5602020303,11.0
5602020502,39.0
5602020503,26.0
5602020504,16.0
5601021004,2.0
5601021005,14.0
5601021006,17.0
5601021009,0.0
5601021002,7.0
5601010303,35.0
5601021102,87.0
2701050401,83.0
2701050501,144.0
2701011301,467.0
2906030801,190.0
2906030701,234.0
2801030401,54.0
2903020401,462.0
2801010201,272.0
2906010301,758.0
2906020401,569.0
2906010201,722.0
2805010201,661.0
2805010301,196.0
2906020301,300.0
2906010701,110.0
2902020601,273.0
2801050601,92.0
2705010201,524.0
2906050301,81.0
2902020201,208.0
2902010801,789.0
2705030201,98.0
2902010901,316.0
6101000005,106.0
6101000007,43.0
6101000012,75.0
6101000013,349.0
6101000019,55.0
6101000021,84.0
6903000004,21.0
6903000012,101.0
6903000013,85.0
6903000011,28.0
6904000102,76.0
6401030302,156.0
6401030303,101.0
6401030102,479.0
6401020202,528.0
6401020102,11.0
6401020103,211.0
6401020104,274.0
6401020105,413.0
6402000102,7.0
6501000404,268.0
6501000405,11.0
6702030605,9.0
6702030202,35.0
6702030204,23.0
6702030206,89.0
6702010902,111.0
6702010903,109.0
6702010904,25.0
6702011002,79.0
6702011003,123.0
2701020302,15.0
2701040102,46.0
2701020404,47.0
1805030701,8.0
2003012701,10.0
2906030201,214.0
2802020201,424.0
2801030201,259.0
2806050401,639.0
2906010601,333.0
2801030501,170.0
2804010301,1093.0
2906030601,252.0
2906030401,572.0
2906030301,552.0
2802010401,283.0
2901030201,764.0
2804010601,314.0
2903020201,290.0
1803030402,6.0
1803030404,24.0
1803011103,192.0
1803011102,15.0
1803011104,31.0
1803011803,42.0
1803030602,31.0
1803030603,28.0
1803031202,41.0
1803030302,72.0
1803030803,16.0
1803030802,20.0
5401030202,76.0
5401030203,196.0
5401030204,153.0
5401030206,21.0
5401030207,40.0
4004011402,14.0
4404040202,7.0
2002011901,375.0
3703010804,357.0
4104010107,122.0
2601030301,146.0
0401000802,60.0
0601020703,12.0
2702010202,1.0
2905010201,428.0
2905010301,130.0
2905010501,120.0
2905010401,557.0
2905030601,52.0
2905020201,33.0
2905030701,19.0
2905030201,101.0
2905020101,61.0
2905030901,79.0
2905030401,37.0
2905040101,293.0
2806020401,367.0
2905040401,1004.0
2806020101,537.0
2806020301,724.0
2905040501,56.0
2806020201,72.0
2905040301,257.0
2804030301,330.0
2804030201,364.0
2804040401,517.0
2905040201,109.0
2804040301,271.0
2804010501,352.0
2804010201,272.0
2906030501,568.0
2806050301,461.0
5004010113,260.0
5004010106,422.0
5004010110,206.0
5004010103,507.0
5004010115,36.0
5004010104,1297.0
5201010109,21.0
5201010110,172.0
5201010104,28.0
5201020103,21.0
5201020102,58.0
4507000002,45.0
4908010102,1003.0
4912010104,222.0
5401020204,26.0
5401010303,15.0
5401010304,6.0
5401010305,74.0
5401010105,12.0
5401010106,120.0
5401010111,42.0
5401010112,5.0
5401010108,64.0
5401010113,7.0
5401010116,34.0
5401010118,17.0
2701010801,275.0
2904020301,458.0
2706010503,46.0
2706012202,31.0
2706010902,41.0
2706010903,32.0
2706010202,34.0
2701051502,175.0
2701050902,5.0
2701021001,427.0
2907010301,302.0
2907030401,94.0
2701020101,781.0
2706012001,83.0
2706011101,151.0
2701051301,66.0
2706011801,76.0
4905030131,106.0
4905030119,17.0
4905030123,50.0
4905030142,147.0
4905030121,414.0
4905030145,34.0
4905030156,93.0
4905030137,207.0
4905030144,48.0
4905030104,100.0
4905030125,44.0
2001030501,24.0
1802040201,51.0
1803010101,67.0
2002011101,168.0
1803020701,195.0
2002011501,38.0
1803040701,30.0
1803010201,247.0
1801030601,139.0
1803040101,65.0
1803040401,53.0
2002012001,20.0
2002010701,71.0
2003012201,70.0
1803010601,272.0
1802070101,165.0
1803020102,68.0
1803040301,58.0
5003020107,12.0
5003020108,436.0
5003020106,19.0
2701050502,35.0
2701050803,18.0
2701050802,39.0
2701050804,28.0
2701011302,105.0
2902010201,54.0
2702020401,68.0
2705020301,128.0
2702020201,270.0
2702020601,91.0
2907020301,39.0
2704010301,514.0
2702020501,217.0
2907020201,131.0
2705020201,824.0
2701021101,58.0
2701040101,168.0
2704030701,197.0
2907020801,238.0
2706010501,310.0
2706011501,81.0
2904040101,123.0
5003010106,15.0
5003010112,55.0
5003010107,29.0
5003010111,511.0
5003010102,15.0
5003020112,32.0
5003020104,46.0
5003020102,4.0
4905030108,40.0
4905030140,238.0
4905030115,206.0
4905030136,39.0
4905030150,111.0
4905030155,50.0
1803040902,18.0
1803040802,18.0
1803041202,4.0
1803041203,15.0
1803010104,15.0
5602010702,8.0
5602010802,12.0
6702031102,7.0
6702010202,146.0
6702010204,182.0
6702010206,6.0
6702010102,341.0
6702010103,5.0
6702010802,74.0
6702030602,28.0
6702030604,44.0
6702030606,34.0
6702030607,5.0
6702030608,41.0
5901030403,28.0
5901030405,43.0
5901031002,26.0
5901031003,6.0
5901010202,10.0
5901020202,21.0
5207010301,183.0
5207020301,36.0
5207020201,69.0
5203000501,699.0
5203000401,679.0
4907000002,285.0
4913070103,34.0
4913070102,39.0
4913060103,65.0
4913010206,137.0
4913010102,683.0
4913010402,244.0
4913020102,135.0
4913090104,388.0
4913090102,237.0
4913090105,75.0
2906050401,430.0
2906050701,139.0
2705010301,333.0
2705010401,356.0
2702030201,466.0
2702010401,266.0
2902011001,39.0
2705010601,312.0
2706011701,88.0
2706012101,66.0
2904020105,3.0
2904020205,0.0
2904020203,60.0
2906020305,145.0
2906010302,78.0
2906010104,47.0
2906010103,101.0
2906010105,98.0
5301030501,217.0
5301060301,126.0
5301010501,1025.0
